::1 - - [19/Dec/2024:15:41:42 +0000] "GET /uploads/image-1734284290212-961968752.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:41:42 +0000] "GET /uploads/image-1734284435617-769861681.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:41:42 +0000] "GET /uploads/image-1734284574045-794149531.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:41:42 +0000] "GET /uploads/image-1734364950805-783239884.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:41:42 +0000] "GET /uploads/image-1734369004087-262169950.jpg HTTP/1.1" 200 82850 "-" "node"
::1 - - [19/Dec/2024:15:41:42 +0000] "GET /uploads/image-1734369272226-152844924.jpg HTTP/1.1" 200 211476 "-" "node"
::1 - - [19/Dec/2024:15:41:43 +0000] "GET /uploads/image-1734372286132-356866472.jpg HTTP/1.1" 200 43728 "-" "node"
::1 - - [19/Dec/2024:15:41:43 +0000] "GET /uploads/image-1734442273274-679797908.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:41:43 +0000] "GET /uploads/image-1734453323691-299220358.jpg HTTP/1.1" 200 86252 "-" "node"
::1 - - [19/Dec/2024:15:41:43 +0000] "GET /uploads/image-1734532166191-140283467.jpg HTTP/1.1" 200 176927 "-" "node"
::1 - - [19/Dec/2024:15:43:05 +0000] "GET /api/products?limit=12 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:43:05 +0000] "GET /uploads/image-1734360739863-82485075.jpg HTTP/1.1" 200 81854 "-" "node"
::1 - - [19/Dec/2024:15:43:05 +0000] "GET /uploads/image-1734284135265-509767447.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:43:05 +0000] "GET /uploads/image-1734284290212-961968752.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:43:05 +0000] "GET /uploads/image-1734284435617-769861681.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:43:05 +0000] "GET /uploads/image-1734284574045-794149531.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:43:05 +0000] "GET /uploads/image-1734364950805-783239884.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:43:05 +0000] "GET /uploads/image-1734369004087-262169950.jpg HTTP/1.1" 200 82850 "-" "node"
::1 - - [19/Dec/2024:15:43:05 +0000] "GET /uploads/image-1734369272226-152844924.jpg HTTP/1.1" 200 211476 "-" "node"
::1 - - [19/Dec/2024:15:43:05 +0000] "GET /uploads/image-1734442273274-679797908.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:43:05 +0000] "GET /uploads/image-1734372286132-356866472.jpg HTTP/1.1" 200 43728 "-" "node"
::1 - - [19/Dec/2024:15:43:05 +0000] "GET /uploads/image-1734532166191-140283467.jpg HTTP/1.1" 200 176927 "-" "node"
::1 - - [19/Dec/2024:15:43:05 +0000] "GET /uploads/image-1734453323691-299220358.jpg HTTP/1.1" 200 86252 "-" "node"
::1 - - [19/Dec/2024:15:43:26 +0000] "GET /api/top-products HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:43:26 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:43:26 +0000] "GET /api/products?limit=10 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:43:26 +0000] "GET /api/category-products?page=1&limit=20&category= HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:43:26 +0000] "GET /uploads/image-1734284252650-170860644.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:43:26 +0000] "GET /uploads/image-1734284135265-509767447.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:43:26 +0000] "GET /uploads/image-1734284290212-961968752.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:43:26 +0000] "GET /uploads/image-1734284574045-794149531.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:43:26 +0000] "GET /uploads/image-1734369013413-904178410.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:43:26 +0000] "GET /uploads/image-1734360987613-950063243.png HTTP/1.1" 200 1789750 "-" "node"
::1 - - [19/Dec/2024:15:43:26 +0000] "GET /uploads/image-1734368940676-165713508.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:15:43:26 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:43:26 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:15:43:26 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:43:26 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:43:26 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:15:43:26 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:43:26 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:43:26 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:43:27 +0000] "GET /uploads/image-1734369013413-904178410.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:43:27 +0000] "GET /uploads/image-1734368940676-165713508.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:15:48:07 +0000] "GET /api/top-products HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:48:08 +0000] "GET /uploads/image-1734284252650-170860644.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:48:08 +0000] "GET /uploads/image-1734284135265-509767447.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:48:08 +0000] "GET /uploads/image-1734284290212-961968752.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:48:08 +0000] "GET /uploads/image-1734284574045-794149531.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:48:08 +0000] "GET /uploads/image-1734369013413-904178410.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:48:08 +0000] "GET /uploads/image-1734360987613-950063243.png HTTP/1.1" 200 1789750 "-" "node"
::1 - - [19/Dec/2024:15:48:08 +0000] "GET /uploads/image-1734368940676-165713508.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:15:48:10 +0000] "GET /api/top-products HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:48:10 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:48:10 +0000] "GET /api/products?limit=10 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:48:10 +0000] "GET /api/category-products?page=1&limit=20&category= HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:48:10 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:48:10 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:15:48:10 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:48:10 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:48:10 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:48:10 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:15:48:11 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:48:12 +0000] "GET /api/top-products HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:48:12 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:48:12 +0000] "GET /api/products?limit=10 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:48:12 +0000] "GET /api/category-products?page=1&limit=20&category= HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:48:14 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:48:15 +0000] "GET /api/top-products HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:48:15 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:48:15 +0000] "GET /api/products?limit=10 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:48:15 +0000] "GET /api/category-products?page=1&limit=20&category= HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:48:19 +0000] "GET /uploads/image-1734369013413-904178410.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:48:21 +0000] "GET /api/top-products HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:48:21 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:48:21 +0000] "GET /api/products?limit=10 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:48:21 +0000] "GET /api/category-products?page=1&limit=20&category= HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:48:23 +0000] "GET /api/top-products HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:48:23 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:48:23 +0000] "GET /api/products?limit=10 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:48:23 +0000] "GET /api/category-products?page=1&limit=20&category= HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:48:34 +0000] "GET /api/top-products HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:48:34 +0000] "GET /uploads/image-1734375516655-250017751.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:48:34 +0000] "GET /uploads/image-1734285368923-742201412.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:16:10:43 +0000] "OPTIONS /api/verify HTTP/1.1" 204 0 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:10:43 +0000] "POST /api/verify HTTP/1.1" 200 44 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:10:49 +0000] "OPTIONS /api/verify HTTP/1.1" 204 0 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:10:49 +0000] "POST /api/verify HTTP/1.1" 200 44 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:10:55 +0000] "OPTIONS /api/login HTTP/1.1" 204 0 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:10:55 +0000] "POST /api/login HTTP/1.1" 200 176 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:10:55 +0000] "OPTIONS /api/verify HTTP/1.1" 204 0 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:10:55 +0000] "POST /api/verify HTTP/1.1" 200 44 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:10:55 +0000] "OPTIONS /api/products?page=1&limit=20&search= HTTP/1.1" 204 0 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:10:55 +0000] "GET /api/products?page=1&limit=20&search= HTTP/1.1" 200 5017 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:10:55 +0000] "GET /uploads/image-1734360739863-82485075.jpg HTTP/1.1" 200 81854 "-" "node"
::1 - - [19/Dec/2024:16:10:55 +0000] "GET /uploads/image-1734284135265-509767447.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:10:55 +0000] "GET /uploads/image-1734284290212-961968752.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:10:55 +0000] "GET /uploads/image-1734284435617-769861681.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:10:55 +0000] "GET /uploads/image-1734364950805-783239884.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:10:55 +0000] "GET /uploads/image-1734284574045-794149531.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:10:55 +0000] "GET /uploads/image-1734369004087-262169950.jpg HTTP/1.1" 200 82850 "-" "node"
::1 - - [19/Dec/2024:16:10:55 +0000] "GET /uploads/image-1734442273274-679797908.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:10:55 +0000] "GET /uploads/image-1734372286132-356866472.jpg HTTP/1.1" 200 43728 "-" "node"
::1 - - [19/Dec/2024:16:10:55 +0000] "GET /uploads/image-1734369272226-152844924.jpg HTTP/1.1" 200 211476 "-" "node"
::1 - - [19/Dec/2024:16:10:58 +0000] "GET /uploads/image-1734453323691-299220358.jpg HTTP/1.1" 200 86252 "-" "node"
::1 - - [19/Dec/2024:16:11:02 +0000] "GET /uploads/image-1734532166191-140283467.jpg HTTP/1.1" 200 176927 "-" "node"
::1 - - [19/Dec/2024:16:11:13 +0000] "GET /uploads/image-1734284252650-170860644.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:11:22 +0000] "GET /api/products?limit=12 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:16:11:22 +0000] "GET /uploads/image-1734360739863-82485075.jpg HTTP/1.1" 200 81854 "-" "node"
::1 - - [19/Dec/2024:16:11:22 +0000] "GET /uploads/image-1734284135265-509767447.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:11:22 +0000] "GET /uploads/image-1734284574045-794149531.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:11:22 +0000] "GET /uploads/image-1734284290212-961968752.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:11:22 +0000] "GET /uploads/image-1734364950805-783239884.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:11:22 +0000] "GET /uploads/image-1734284435617-769861681.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:11:22 +0000] "GET /uploads/image-1734369004087-262169950.jpg HTTP/1.1" 200 82850 "-" "node"
::1 - - [19/Dec/2024:16:11:22 +0000] "GET /uploads/image-1734372286132-356866472.jpg HTTP/1.1" 200 43728 "-" "node"
::1 - - [19/Dec/2024:16:11:22 +0000] "GET /uploads/image-1734442273274-679797908.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:11:22 +0000] "GET /uploads/image-1734453323691-299220358.jpg HTTP/1.1" 200 86252 "-" "node"
::1 - - [19/Dec/2024:16:11:22 +0000] "GET /uploads/image-1734532166191-140283467.jpg HTTP/1.1" 200 176927 "-" "node"
::1 - - [19/Dec/2024:16:11:22 +0000] "GET /uploads/image-1734369272226-152844924.jpg HTTP/1.1" 200 211476 "-" "node"
::1 - - [19/Dec/2024:16:11:28 +0000] "GET /api/top-products HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:16:11:28 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:16:11:28 +0000] "GET /api/products?limit=10 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:16:11:28 +0000] "GET /api/category-products?page=1&limit=20&category= HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:16:11:28 +0000] "GET /uploads/image-1734284290212-961968752.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:11:28 +0000] "GET /uploads/image-1734284574045-794149531.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:11:28 +0000] "GET /uploads/image-1734284135265-509767447.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:11:28 +0000] "GET /uploads/image-1734284252650-170860644.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:11:28 +0000] "GET /uploads/image-1734369013413-904178410.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:11:28 +0000] "GET /uploads/image-1734360987613-950063243.png HTTP/1.1" 200 1789750 "-" "node"
::1 - - [19/Dec/2024:16:11:28 +0000] "GET /uploads/image-1734368940676-165713508.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:16:11:28 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:16:11:28 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:16:11:28 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:11:28 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:16:11:28 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:16:11:28 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:16:11:28 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:11:28 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:16:11:29 +0000] "GET /uploads/image-1734285368923-742201412.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:16:11:30 +0000] "GET /uploads/image-1734375516655-250017751.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:14:32 +0000] "GET /api/products?limit=12 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:16:18:35 +0000] "GET /api/products?limit=12 HTTP/1.1" 200 3041 "-" "axios/1.7.9"
::1 - - [19/Dec/2024:16:19:02 +0000] "GET /api/products?limit=12 HTTP/1.1" 200 3041 "-" "axios/1.7.9"
::1 - - [19/Dec/2024:16:20:00 +0000] "GET /api/products?limit=12 HTTP/1.1" 200 3041 "-" "axios/1.7.9"
::1 - - [19/Dec/2024:16:20:09 +0000] "GET /api/products?limit=12 HTTP/1.1" 200 3041 "-" "axios/1.7.9"
::1 - - [19/Dec/2024:16:20:38 +0000] "GET /api/products?limit=12 HTTP/1.1" 200 3041 "-" "axios/1.7.9"
::1 - - [19/Dec/2024:16:20:59 +0000] "GET /api/products?limit=12 HTTP/1.1" 200 3041 "-" "axios/1.7.9"
::1 - - [19/Dec/2024:16:20:59 +0000] "GET /uploads/image-1734360739863-82485075.jpg HTTP/1.1" 200 81854 "-" "node"
::1 - - [19/Dec/2024:16:20:59 +0000] "GET /uploads/image-1734284135265-509767447.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:20:59 +0000] "GET /uploads/image-1734284435617-769861681.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:20:59 +0000] "GET /uploads/image-1734284574045-794149531.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:20:59 +0000] "GET /uploads/image-1734364950805-783239884.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:20:59 +0000] "GET /uploads/image-1734284290212-961968752.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:20:59 +0000] "GET /uploads/image-1734369004087-262169950.jpg HTTP/1.1" 200 82850 "-" "node"
::1 - - [19/Dec/2024:16:20:59 +0000] "GET /uploads/image-1734369272226-152844924.jpg HTTP/1.1" 200 211476 "-" "node"
::1 - - [19/Dec/2024:16:20:59 +0000] "GET /uploads/image-1734372286132-356866472.jpg HTTP/1.1" 200 43728 "-" "node"
::1 - - [19/Dec/2024:16:20:59 +0000] "GET /uploads/image-1734442273274-679797908.jpg HTTP/1.1" 200 42527 "-" "node"
